reading_id,reading_date,sensor,temperature,humidity,pressure
184606,"2019-12-30 20:23:54.000","Living Room",68,32,0
184607,"2019-12-30 20:23:58.000",Garage,31.1,73.3,0
184608,"2019-12-30 20:24:10.000",Office,62.96,26.4,0
184609,"2019-12-30 20:24:58.000",Kitchen,73.4,29.2,0
184610,"2019-12-30 20:28:55.000","Living Room",66.2,32,0
184611,"2019-12-30 20:28:59.000",Garage,30.92,73.3,0
184612,"2019-12-30 20:29:11.000",Office,62.78,26.5,0
184613,"2019-12-30 20:29:58.000",Kitchen,73.4,29,0
184614,"2019-12-30 20:33:55.000","Living Room",68,32,0
184615,"2019-12-30 20:33:59.000",Garage,30.56,73.3,0
184616,"2019-12-30 20:34:11.000",Office,62.6,26.4,0
184617,"2019-12-30 20:34:59.000",Kitchen,73.22,28.9,0
184618,"2019-12-30 20:39:00.000",Garage,30.2,72.7,0
184619,"2019-12-30 20:39:12.000",Office,62.24,26.1,0
184620,"2019-12-30 20:40:00.000",Kitchen,73.04,28.7,0
184621,"2019-12-30 20:44:00.000",Garage,29.48,73.9,0
184622,"2019-12-30 20:44:12.000",Office,62.06,26.4,0
184624,"2019-12-30 20:49:01.000",Garage,30.02,73.2,0
184625,"2019-12-30 20:49:13.000",Office,61.88,26.3,0
184626,"2019-12-30 20:50:08.000",Kitchen,73.4,28.7,0
184627,"2019-12-30 20:54:01.000",Garage,29.84,73,0
184628,"2019-12-30 20:54:13.000",Office,61.52,26.1,0
184629,"2019-12-30 20:55:09.000",Kitchen,73.4,28.4,0
184630,"2019-12-30 20:59:02.000",Garage,29.84,72.7,0
184631,"2019-12-30 20:59:14.000",Office,61.16,25.4,0
184632,"2019-12-30 21:00:09.000",Kitchen,73.4,28.5,0
184634,"2019-12-30 21:04:02.000",Garage,30.2,72.4,0
184635,"2019-12-30 21:04:14.000",Office,60.98,25.9,0
184636,"2019-12-30 21:05:10.000",Kitchen,73.58,28.5,0
184638,"2019-12-30 21:09:03.000",Garage,30.2,72.1,0
184639,"2019-12-30 21:09:15.000",Office,60.8,25.9,0
184640,"2019-12-30 21:10:10.000",Kitchen,73.76,28.5,0
184641,"2019-12-30 21:14:03.000",Garage,29.84,72.1,0
184642,"2019-12-30 21:14:16.000",Office,60.62,25.7,0
184643,"2019-12-30 21:15:11.000",Kitchen,73.94,28.6,0
184645,"2019-12-30 21:19:04.000",Garage,29.48,72.3,0
184646,"2019-12-30 21:19:16.000",Office,60.44,25.9,0
184647,"2019-12-30 21:20:11.000",Kitchen,73.94,28.5,0
184649,"2019-12-30 21:24:04.000",Garage,29.3,72.6,0
184650,"2019-12-30 21:24:17.000",Office,60.44,25.9,0
184651,"2019-12-30 21:25:12.000",Kitchen,74.12,28.5,0
184653,"2019-12-30 21:29:05.000",Garage,29.12,72.6,0
184655,"2019-12-30 21:30:12.000",Kitchen,74.12,28.3,0
184659,"2019-12-30 21:34:06.000",Garage,28.94,72.7,0
184660,"2019-12-30 21:34:25.000",Office,59.9,25.9,0
184661,"2019-12-30 21:35:13.000",Kitchen,74.12,28.3,0
184663,"2019-12-30 21:39:06.000",Garage,28.94,72.8,0
184664,"2019-12-30 21:39:26.000",Office,59.72,26,0
184665,"2019-12-30 21:40:13.000",Kitchen,74.12,28.4,0
184668,"2019-12-30 21:42:43.000",PiZero,72.86,28.6,30.099
184669,"2019-12-30 21:44:07.000",Garage,28.76,72.8,0
184670,"2019-12-30 21:44:26.000",Office,59.72,25.9,0
184671,"2019-12-30 21:45:14.000",Kitchen,74.3,28.4,0
184672,"2019-12-30 21:45:16.000",PiZero,73.04,28.9,30.101
184673,"2019-12-30 21:45:42.000",PiZero,73.04,29,30.101
184674,"2019-12-30 21:47:35.000",PiZero,73.04,28.6,30.1
184675,"2019-12-30 21:49:07.000",Garage,28.58,72.7,0
184676,"2019-12-30 21:49:27.000",Office,59.36,25.9,0
184677,"2019-12-30 21:50:15.000",Kitchen,74.48,28.3,0
184678,"2019-12-30 21:54:27.000",Office,59.18,25.8,0
